density,density*u,density*v,density*w,energy
1.16013,800.212,-0.0360711,1.81198e-05,510874
1.16014,800.215,-0.0369159,2.86102e-06,510877
1.16014,800.219,-0.0371437,2.86102e-06,510879
1.16015,800.222,-0.0367127,-9.53674e-06,510882
1.16016,800.227,-0.0355406,-1.23978e-05,510886
1.16017,800.232,-0.0337363,-8.58307e-06,510889
1.16018,800.237,-0.031482,-5.72205e-06,510893
1.16019,800.242,-0.0287754,-3.8147e-06,510897
1.1602,800.248,-0.0257885,-2.38419e-05,510901
1.16021,800.253,-0.0227559,-3.91006e-05,510906
1.16022,800.258,-0.0197515,-5.43594e-05,510909
1.16023,800.262,-0.0169274,-4.00543e-05,510913
1.16023,800.266,-0.0142763,-2.86102e-05,510916
1.16024,800.27,-0.0117027,-1.04904e-05,510918
1.16024,800.272,-0.00917507,3.24249e-05,510920
1.16025,800.274,-0.00660099,6.96182e-05,510922
1.16025,800.275,-0.00394056,7.05719e-05,510923
1.16025,800.276,-0.00129497,5.62668e-05,510923
1.16004,800.211,-0.00857966,-7.24792e-05,510872
1.16008,800.206,-0.0216618,-4.57764e-05,510869
1.1601,800.201,-0.0273149,-3.05176e-05,510865
1.16011,800.202,-0.0304281,-2.19345e-05,510866
1.16012,800.204,-0.0326218,-1.90735e-06,510868
1.16012,800.207,-0.0343987,1.62125e-05,510870
1.16013,800.21,-0.0358911,1.33514e-05,510872
1.16013,800.213,-0.0370422,9.53674e-07,510875
1.16014,800.216,-0.0378204,-1.14441e-05,510877
1.16014,800.219,-0.0381448,-2.00272e-05,510879
1.16015,800.222,-0.0378177,-1.23978e-05,510882
1.16016,800.226,-0.0368279,-4.76837e-06,510885
1.16016,800.23,-0.0351918,-9.53674e-07,510888
1.16017,800.234,-0.0330257,9.53674e-07,510891
1.16018,800.239,-0.0304143,-1.43051e-05,510895
1.16019,800.245,-0.0275105,-3.8147e-05,510899
1.1602,800.25,-0.0243882,-5.24521e-05,510903
1.16021,800.255,-0.0212065,-3.62396e-05,510907
1.16022,800.26,-0.0181785,-2.76566e-05,510911
1.16023,800.263,-0.0153208,-1.81198e-05,510914
1.16023,800.267,-0.0125435,-4.76837e-06,510916
1.16024,800.269,-0.00980692,3.52859e-05,510918
1.16024,800.271,-0.00705026,6.96182e-05,510920
1.16024,800.273,-0.00421905,5.53131e-05,510921
1.16025,800.274,-0.00138913,3.8147e-05,510921
1.16004,800.215,-0.00896607,-4.48227e-05,510876
1.16008,800.21,-0.0226095,-4.19617e-05,510872
1.1601,800.204,-0.0284507,-2.86102e-05,510867
1.16011,800.204,-0.0315343,-1.23978e-05,510868
1.16012,800.206,-0.0336039,-6.67572e-06,510869
1.16013,800.209,-0.0353402,6.67572e-06,510872
1.16013,800.212,-0.0368173,-6.67572e-06,510874
1.16013,800.214,-0.0379079,-1.81198e-05,510876
1.16014,800.217,-0.0386,-1.90735e-05,510878
1.16014,800.219,-0.038905,-2.00272e-05,510880
1.16015,800.221,-0.0386898,-1.04904e-05,510881
1.16015,800.224,-0.0378549,0,510884
1.16016,800.228,-0.0364727,9.53674e-07,510886
1.16017,800.232,-0.0344688,-5.72205e-06,510890
1.16018,800.237,-0.0319799,-1.71661e-05,510893
1.16019,800.242,-0.0291852,-4.00543e-05,510897
1.1602,800.247,-0.0260187,-5.81741e-05,510901
1.16021,800.252,-0.0226504,-3.05176e-05,510905
1.16022,800.257,-0.0194202,-1.14441e-05,510908
1.16022,800.26,-0.0163744,1.90735e-06,510911
1.16023,800.264,-0.013454,3.8147e-06,510914
1.16024,800.267,-0.0105518,2.19345e-05,510916
1.16024,800.27,-0.0075953,3.62396e-05,510919
1.16024,800.272,-0.00455761,3.52859e-05,510920
1.16025,800.273,-0.00151127,2.38419e-05,510921
1.16004,800.22,-0.00930209,-2.67029e-05,510880
1.16008,800.214,-0.0234351,-2.76566e-05,510875
1.1601,800.207,-0.0294282,-9.53674e-06,510869
1.16012,800.206,-0.0325322,4.76837e-06,510869
1.16012,800.208,-0.0346413,3.8147e-06,510871
1.16013,800.211,-0.0362762,-9.53674e-07,510873
1.16013,800.213,-0.0376296,-3.52859e-05,510874
1.16014,800.215,-0.0386586,-3.71933e-05,510876
1.16014,800.217,-0.0392473,-2.67029e-05,510878
1.16014,800.219,-0.0395569,-1.33514e-05,510880
1.16015,800.221,-0.0394117,-1.04904e-05,510881
1.16015,800.223,-0.0386768,-9.53674e-06,510883
1.16016,800.226,-0.0374656,4.76837e-06,510885
1.16016,800.23,-0.035752,5.72205e-06,510888
1.16017,800.234,-0.0335246,-1.04904e-05,510891
1.16018,800.239,-0.0307904,-4.1008e-05,510895
1.16019,800.244,-0.0275802,-4.3869e-05,510898
1.1602,800.249,-0.0241108,-3.52859e-05,510902
1.16021,800.253,-0.0207277,-1.14441e-05,510906
1.16022,800.258,-0.0175833,5.72205e-06,510909
1.16023,800.262,-0.0145891,4.76837e-06,510912
1.16023,800.266,-0.0115583,-9.53674e-07,510915
1.16024,800.269,-0.00840541,-2.86102e-06,510918
1.16025,800.273,-0.00505852,1.71661e-05,510921
1.16025,800.274,-0.0016647,3.24249e-05,510922
1.16004,800.226,-0.00960354,3.8147e-06,510884
1.16009,800.218,-0.0241657,2.86102e-06,510878
1.16011,800.209,-0.0303291,1.62125e-05,510871
1.16012,800.208,-0.0334932,3.62396e-05,510870
1.16012,800.209,-0.0355897,3.05176e-05,510871
1.16013,800.211,-0.0371517,-2.09808e-05,510873
1.16013,800.213,-0.0384062,-5.72205e-05,510875
1.16014,800.215,-0.0393081,-7.24792e-05,510876
1.16014,800.217,-0.0398228,-5.34058e-05,510878
1.16014,800.219,-0.0401021,-2.28882e-05,510879
1.16015,800.22,-0.0399609,-8.58307e-06,510880
1.16015,800.222,-0.0393503,-1.23978e-05,510882
1.16015,800.225,-0.0382899,-3.8147e-06,510884
1.16016,800.228,-0.0367736,-9.53674e-07,510886
1.16017,800.232,-0.0347754,-1.23978e-05,510889
1.16017,800.236,-0.0321758,-2.09808e-05,510892
1.16018,800.24,-0.0290712,-2.00272e-05,510896
1.16019,800.245,-0.0256792,-1.33514e-05,510899
1.1602,800.25,-0.0222884,-9.53674e-06,510903
1.16021,800.255,-0.0191641,-4.76837e-06,510907
1.16023,800.261,-0.0163146,-1.23978e-05,510912
1.16024,800.268,-0.0136162,-1.14441e-05,510917
1.16026,800.275,-0.0104651,1.71661e-05,510923
1.16028,800.282,-0.00625352,5.05447e-05,510929
1.16029,800.287,-0.00193509,7.34329e-05,510933
1.16004,800.231,-0.00986285,5.72205e-05,510888
1.16009,800.223,-0.0248367,4.673e-05,510882
1.16011,800.211,-0.0312638,4.29153e-05,510872
1.16012,800.209,-0.034499,6.10352e-05,510870
1.16012,800.209,-0.0365241,3.91006e-05,510871
1.16012,800.211,-0.0379384,-3.05176e-05,510872
1.16013,800.212,-0.0390641,-6.10352e-05,510874
1.16013,800.214,-0.0398829,-8.10623e-05,510875
