t(secs),mass_residual
0.1137,0.245681
0.11385,0.242574
0.114,0.239769
0.11415,0.237247
0.1143,0.234985
0.11445,0.232967
0.1146,0.231176
0.11475,0.229602
0.1149,0.228226
0.11505,0.227035
0.1152,0.226016
0.11535,0.22516
0.1155,0.224461
0.11565,0.223908
0.1158,0.223492
0.11595,0.223205
0.1161,0.22304
0.11625,0.222984
0.1164,0.223029
0.11655,0.22317
0.1167,0.223396
0.11685,0.223701
0.117,0.22408
0.11715,0.22453
0.1173,0.225054
0.11745,0.225645
0.1176,0.226292
0.11775,0.226985
0.1179,0.227719
0.11805,0.228485
0.1182,0.229276
0.11835,0.23009
0.1185,0.230927
0.11865,0.231784
0.1188,0.232663
0.11895,0.23356
0.1191,0.234477
0.11925,0.23541
0.1194,0.236361
0.11955,0.237328
0.1197,0.238311
0.11985,0.239307
0.12,0.240317
0.12015,0.241341
0.1203,0.242379
0.12045,0.24343
0.1206,0.244494
0.12075,0.24557
0.1209,0.246658
0.12105,0.247757
0.1212,0.248866
0.12135,0.249984
0.1215,0.25111
0.12165,0.252242
0.1218,0.253378
0.12195,0.254517
0.1221,0.255656
0.12225,0.256795
0.1224,0.257931
0.12255,0.259065
0.1227,0.260194
0.12285,0.261319
0.123,0.262436
0.12315,0.263548
0.1233,0.26465
0.12345,0.265744
0.1236,0.266826
0.12375,0.267896
0.1239,0.268955
0.12405,0.270003
0.1242,0.271038
0.12435,0.272061
0.1245,0.273072
0.12465,0.27407
0.1248,0.275056
0.12495,0.276029
0.1251,0.276989
0.12525,0.277937
0.1254,0.278872
0.12555,0.279795
0.1257,0.280707
0.12585,0.281606
0.126,0.282494
0.12615,0.28337
0.1263,0.284235
0.12645,0.285088
0.1266,0.28593
0.12675,0.286763
0.1269,0.287584
0.12705,0.288395
0.1272,0.289195
0.12735,0.289986
0.1275,0.290768
0.12765,0.291541
0.1278,0.292304
0.12795,0.29306
0.1281,0.293807
0.12825,0.294547
0.1284,0.295278
0.12855,0.296003
